MO NDVI TWI Tmed LS_Factor PPmed EPTmed Pendiente Altura LC_Bosques LC_CultivosAnuales x y
6.23 0.4594 10.5990047454834 19.2998218536377 3.18722248077393 948 371.455555555556 15.7716035842896 1475.92999267578 0 0 4310492.64980564 6517711.01147682
5.5 0.565375 10.4202518463135 19.3767604827881 1.20623767375946 1032 498.661111111111 11.1328129768372 1206.48394775391 0.5144 0 4357124.10997846 6576685.04614642
5.48 0.532733333333333 13.079704284668 21.1046600341797 0.223822236061096 1128 499.772222222222 5.6875786781311 741.190368652344 0.1016 0 4357742.46141837 6535684.27058775
5.25 0.54845 13.7376670837402 21.813835144043 0.752829909324646 1104 430.505555555556 4.99798250198364 794.929748535156 0.2476 0 4326220.72884427 6359045.54867642
5.03 0.40775 17.9833316802979 21.6104145050049 0.0392001904547215 1101.298828125 436.727777777778 1.09569045901299 556.762176513672 0 0.9896 4398031.29703257 6597114.86129909
4.89 0.481066666666667 18.4078712463379 23.4319438934326 0.164116829633713 867.327087402344 375.011111111111 2.6664137840271 580.941131591797 0 0 4355986.094422 6636919.0371563
4.82 0.621583333333333 16.6510162353516 23.5097789764404 0.151261761784554 996 500.394444444444 4.73187255859375 671.753387451172 0.9976 0 4304169.48187153 6460433.83644955
4.76 0.62565 12.0096740722656 20.2176551818848 2.14154386520386 1164.96765136719 563.872222222222 7.56599426269531 723.651580810547 0.362 0 4377903.12598503 6556981.99931217
4.68 0.420775 15.6399927139282 25.9283027648926 0.212342858314514 822.796752929688 244.855555555556 1.93942415714264 261.552917480469 0 0 4375787.34822863 6714974.09153749
4.67 0.6959 13.1994438171387 21.078950881958 4.03814697265625 1016.43432617188 558.344444444444 15.3192472457886 1089.41088867188 1 0 4316078.90636955 6475163.26261108
4.66 0.542275 18.2876682281494 23.7000007629395 0.00298754125833511 1128 430.922222222222 0.113219745457172 113.16283416748 0.0268 0.3812 4582828.92890786 6537403.0752841
4.58 0.4816 16.3013458251953 22.3316383361816 0.0557935498654842 962.52734375 448.277777777778 2.17241013050079 696.164611816406 0 0 4400469.91670387 6674494.9602649
4.48 0.60035 17.9173069000244 23.7999992370605 0.0128570916131139 1176.62353515625 477.233333333333 0.185410067439079 102.543357849121 0 0.4872 4603204.83030968 6577495.18275552
4.44 0.413918181818182 17.9142990112305 22.8999996185303 0.000114581307570916 1270.24963378906 397.906 0.3184654712677 107.769989013672 0 0 4584625.49962852 6335573.06889384
4.37 0.291063636363636 17.2177352905273 22.7999992370605 0.0688142627477646 1382.89294433594 456.477777777778 0.950155913829803 321.851837158203 0 0.768 4406142.2204235 6344329.32720299
4.33 0.6349625 13.9573554992676 20.2000007629395 1.87364649772644 1116 665.883333333333 4.76920819282532 686.519500732422 0.5784 0 4379599.04184242 6575073.23725756
4.32 0.4756 17.0212554931641 22.5315341949463 0.594088494777679 899.226440429688 434.922222222222 2.25761008262634 687.54296875 0 0 4356970.91006974 6628275.37719706
4.31 0.4637 17.6777305603027 22.6000003814697 0.0492061413824558 1383.84484863281 516.316666666667 0.536722779273987 418.828369140625 0.0268 0.8896 4383541.97249963 6341734.33164911
4.26 0.5006 16.0217456817627 22.8895053863525 0.386110961437225 996 407.416666666667 3.82141733169556 630.950347900391 0 0.2144 4414450.22193546 6692240.10559584
4.23 0.385575 18.3158683776855 22.3970050811768 0.0713325440883636 1204.37341308594 446.238888888889 0.959365606307983 398.857467651367 0 0.95 4408378.93763525 6560119.61848224
4.18 0.400833333333333 15.5487880706787 23.2700519561768 0.224993154406548 1024.66955566406 415.461111111111 1.49371874332428 456.514556884766 0 0.9068 4414875.58609537 6656688.52769543
