x	y	RindeSoja	Elevacion	CEa30	CEa90	RindeMaiz	NDVI_1	NDVI_2	NDVI_3
509491.469	6290624.516	1.67502	138.404	46.5594	44.8963	1.04504	0.364706	0.43236	0.127451
509511.469	6290624.516	1.25903	138.521	46.3563	44.5872	1.27463	0.310345	0.408466	0.127451
509531.469	6290624.516	1.26534	138.742	44.9737	42.4164	2.27915	0.310345	0.408466	0.135922
509551.469	6290624.516	1.18996	138.927	45.1729	41.5904	2.84014	0.266667	0.394118	0.134615
509571.469	6290624.516	1.12782	138.819	48.181	41.9831	3.25746	0.298969	0.40176	0.134615
509591.469	6290624.516	1.17511	138.348	48.3695	42.1449	3.44369	0.298969	0.40176	0.129187
509611.469	6290624.516	2.41267	137.695	49.4377	45.6702	3.61069	0.465347	0.434339	0.125
509631.469	6290624.516	3.42791	137.133	51.1402	51.906	3.77495	0.495495	0.493469	0.131707
509651.469	6290624.516	5.20595	136.704	50.3567	52.472	5.98061	0.495495	0.493469	0.142857
509671.469	6290624.516	5.96267	136.498	48.1878	49.8861	8.00434	0.517857	0.556376	0.141463
509691.469	6290624.516	5.87121	136.441	46.7526	49.532	8.68098	0.531532	0.513324	0.157895
509711.469	6290624.516	6.08335	136.52	49.443	51.7564	8.9382	0.531532	0.513324	0.15942
509731.469	6290624.516	5.46607	136.693	52.6307	52.9927	8.34642	0.490566	0.461242	0.141463
509751.469	6290624.516	4.62785	136.963	53.6459	48.2659	2.54727	0.434783	0.448925	0.134328
509291.469	6290604.516	3.24223	138.111	58.1737	47.2683	1.4986	0.425532	0.444994	0.123288
509311.469	6290604.516	3.89338	138.018	53.6881	45.6625	1.19824	0.377778	0.47571	0.13615
509331.469	6290604.516	3.74597	138.045	52.1481	47.6806	1.0284	0.386364	0.466161	0.134615
509351.469	6290604.516	3.58307	138.089	51.5642	46.7942	0.93309	0.386364	0.466161	0.130435
509371.469	6290604.516	3.21319	138.134	49.5208	44.6756	1.35909	0.370787	0.44545	0.125
509391.469	6290604.516	2.00489	138.168	51.4795	45.6223	1.78025	0.4	0.447095	0.134615
509411.469	6290604.516	1.89234	138.163	51.9163	47.0015	1.896	0.4	0.447095	0.135922
509431.469	6290604.516	2.46204	138.153	51.168	46.0679	1.8456	0.395349	0.463613	0.135922
509451.469	6290604.516	1.55389	138.16	52.504	45.8473	1.34285	0.356322	0.452351	0.131707
509471.469	6290604.516	1.39286	138.201	50.0728	45.6412	0.970006	0.356322	0.452351	0.126214
509491.469	6290604.516	1.31173	138.291	48.376	46.6087	0.896429	0.325843	0.422935	0.126214
509511.469	6290604.516	1.17039	138.463	46.65	45.1162	1.25745	0.303371	0.400634	0.135922
509531.469	6290604.516	1.22212	138.719	45.5166	42.3007	2.08623	0.303371	0.400634	0.145631
509551.469	6290604.516	1.09488	138.971	46.1564	41.7879	2.36016	0.266667	0.394144	0.138756
509571.469	6290604.516	1.11259	138.855	47.7227	41.8121	2.95111	0.3125	0.408996	0.138756
509591.469	6290604.516	1.1286	138.389	49.0653	41.4362	3.48537	0.3125	0.408996	0.130435
509611.469	6290604.516	1.45556	137.704	50.5341	45.3418	3.53394	0.485149	0.433921	0.125
509631.469	6290604.516	2.39714	137.135	53.3611	52.3449	4.916	0.537037	0.499424	0.127451
509651.469	6290604.516	4.40305	136.69	52.4537	53.2348	7.17547	0.537037	0.499424	0.144279
509671.469	6290604.516	5.71099	136.51	47.9681	50.5638	8.2917	0.522124	0.546453	0.147059
509691.469	6290604.516	5.70185	136.46	46.9318	49.9894	8.17445	0.513514	0.496649	0.153846
509711.469	6290604.516	4.7477	136.538	49.6628	52.3267	8.60618	0.513514	0.496649	0.149758
509731.469	6290604.516	3.79004	136.684	53.4019	53.313	6.77312	0.461538	0.443048	0.15122
509751.469	6290604.516	3.01241	136.903	51.4987	48.9881	4.97782	0.419355	0.431016	0.137255
509771.469	6290604.516	3.36434	137.202	51.0638	47.7563	2.22624	0.419355	0.431016	0.128713
509791.469	6290604.516	2.98458	137.5	50.9873	49.3744	1.55589	0.325843	0.4156	0.123153
509811.469	6290604.516	3.0691	137.738	48.7123	46.8063	1.45369	0.287356	0.428376	0.123153
509831.469	6290604.516	2.79182	137.962	46.6726	42.5721	1.33321	0.287356	0.428376	0.121951
509851.469	6290604.516	1.69076	138.2	46.1833	41.6455	1.10719	0.292683	0.472489	0.116505
509291.469	6290584.516	4.26333	138.105	56.485	47.6733	2.22586	0.425532	0.444994	0.124424
509311.469	6290584.516	4.56271	138.033	51.2977	45.6443	1.71309	0.377778	0.47571	0.142857
509331.469	6290584.516	4.43138	138.078	50.7945	46.8682	1.41109	0.386364	0.466161	0.140097
509351.469	6290584.516	4.02291	138.116	49.1857	45.2768	1.07043	0.386364	0.466161	0.135922
509371.469	6290584.516	3.76287	138.146	49.7633	44.352	1.58737	0.370787	0.44545	0.135922
509391.469	6290584.516	2.45126	138.133	53.1175	46.8261	1.52838	0.4	0.447095	0.141463
509411.469	6290584.516	2.17659	138.086	54.318	48.6049	1.7001	0.4	0.447095	0.135922
509431.469	6290584.516	2.85553	138.055	54.3219	47.5074	1.49604	0.395349	0.463613	0.125
509451.469	6290584.516	2.50981	138.065	54.7235	47.9789	1.07209	0.356322	0.452351	0.130435
509471.469	6290584.516	2.34156	138.111	51.9624	46.8346	1.14363	0.356322	0.452351	0.130435
509491.469	6290584.516	1.65145	138.205	49.3023	47.2276	1.30588	0.325843	0.422935	0.130435
509511.469	6290584.516	1.30286	138.422	46.7408	45.1053	1.02874	0.303371	0.400634	0.135922
509531.469	6290584.516	1.18095	138.696	45.0525	42.5605	1.37115	0.303371	0.400634	0.134615
509551.469	6290584.516	1.06942	138.977	45.071	42.2082	1.40443	0.266667	0.394144	0.138756
509571.469	6290584.516	1.12339	138.834	45.8609	40.9115	2.21889	0.3125	0.408996	0.134615
509591.469	6290584.516	1.33669	138.368	46.6506	41.2594	3.73094	0.3125	0.408996	0.130435
509611.469	6290584.516	1.66391	137.661	49.8998	45.3626	4.07753	0.485149	0.433921	0.129187
509631.469	6290584.516	2.83939	137.119	53.5324	51.9932	5.3223	0.537037	0.499424	0.135922
509651.469	6290584.516	4.82408	136.704	53.016	54.3619	8.17306	0.537037	0.499424	0.137255
509671.469	6290584.516	6.15185	136.539	49.1555	52.1142	9.34304	0.522124	0.546453	0.145631
509691.469	6290584.516	5.84017	136.504	47.8988	50.8663	8.55261	0.513514	0.496649	0.160976
509711.469	6290584.516	5.45179	136.575	49.7471	52.8116	8.77989	0.513514	0.496649	0.145631
509731.469	6290584.516	3.75407	136.728	53.3505	52.9386	7.2503	0.461538	0.443048	0.147059
509751.469	6290584.516	1.85061	136.934	53.9198	49.0603	4.8794	0.419355	0.431016	0.142857
509771.469	6290584.516	1.47238	137.205	52.7545	47.5555	3.02572	0.419355	0.431016	0.133005
509791.469	6290584.516	2.03185	137.456	52.4479	48.5907	2.86275	0.325843	0.4156	0.128713
509811.469	6290584.516	2.28725	137.687	48.588	45.0063	2.79594	0.287356	0.428376	0.127451
509831.469	6290584.516	2.147	137.929	46.7264	41.6082	2.61419	0.287356	0.428376	0.126214
