"VUT" "x" "y" "d_bpriv" "d_centro" "d_educ" "d_espverd" "d_ffcc" "d_supcom" "d_indust" "d_ruta" "d_viasprin" "d_viassec" "d_depre" "d_front" "g_comercio" "g_por_bald" "g_porc_edi"
"114" 1091 4586543.71399999 6520942.54999999 3670.71342999999 1845.73369 769.55475 533.65755 1072.53349 3096.42812999999 2467.70794999999 3695.40965999999 1144.56331 967.91016 2233.67329999999 1693.56872999999 0 0.55667 0.12053
"115" 4930 4586343.461 6522874.87 2488.26582 0 437.04678 165.867179999999 785.11854 2045.38084 2050.2881 3116.98516 100.44996 36.97695 1599.13322999999 2367.49166999999 9 0.03621 0.89559
"116" 1937 4585782.456 6524374.92999999 1368.43577 1049.95142 20.08699 46.01769 666.714669999999 1719.65154 2473.74656 2276.60649999999 304.231029999999 186.831289999999 2221.04194 3327.03749 3 0.13524 0.48386
"117" 996 4586428.007 6520887.939 3629.32227 1921.45281999999 833.352809999999 540.294939999999 1148.20808 3052.35824 2384.85865 3592.42909999999 1068.8676 1043.8964 2182.68461999999 1809.11166 0 0.63222 0.08538
"118" 1742 4585580.27099999 6524416.69199999 1225.31021 1129.66832999999 209.20694 145.274049999999 778.47941 1583.43811 2399.28708999999 2070.20832999999 510.676179999999 186.993429999999 2149.14051 3532.74884999999 2 0.17851 0.42522
"119" 1434 4586529.20899999 6520915.26599999 3679.82229 1875.28720999999 797.114469999999 551.03357 1102.08312 3104.81505 2465.33584999999 3686.44705999999 1143.81433999999 997.49225 2240.16355 1707.77678999999 0 0.60444 0.10791
"120" 880 4586566.58999999 6520933.733 3693.15232999999 1850.01594999999 778.473259999999 552.722399999999 1076.82617 3119.10966999999 2492.20697 3719.55776999999 1168.99687999999 972.115559999999 2256.91492 1670.55085 0 0.61526 0.10365
"121" 1111 4586701.898 6521076.23 3694.12708 1684.28467 653.33658 534.13529 910.923829999999 3126.04014999999 2567.01184 3824.81347 1243.17146 806.068869999999 2279.0073 1544.00658999999 0 0.48 0.15602
"122" 1142 4586220.404 6521592.79999999 2991.68931 1269.26406999999 352.092229999999 145.500529999999 495.92187 2427.28521 1970.07859 3252.64921 664.691889999999 391.275309999999 1596.56964999999 2127.14696999999 1 0.11412 0.34449
"123" 1786 4585282.718 6524024.68499999 1206.03737999999 922.92217 393.654749999999 394.51594 1266.76944 1109.45281999999 1911.32903 1848.11078999999 725.849399999999 144.715789999999 1659.02154999999 3706.50196999999 0 0.17477 0.48129
