g_gas	g_agua	g_cloaca	g_perc_baldio	g_comercio	g_sellos	g_perc_edif	d_bpriv	d_centro	d_educ	d_espverd	d_ffcc	d_supcom	d_indust	d_ruta	d_viasprin	d_viassec	d_depre	d_front	x	y	g_vial	d_sube	cod_baja	d_baja
1	1	1	0,215076923077	0	0,01579	0,358756923077	2209,22960703999	1291,71959078	695,352710949999	304,055622152	498,182736049	1628,72770586	1021,49645306	2304,06550013	283,882169103	379,717635986	749,213547034	3072,41637657999	4585291,05523	6521782,98983999	0	1291,71959078	d_depre	749,213557218556
0,5	1	1	0,225254237288	0	0,01054	0,354384745763	2219,01403798999	1377,94575299	770,37092427	255,835226849	573,848672454	1639,10309684999	965,733469362	2248,26513212	339,790760888	454,947489014999	761,486693695999	3121,96873633999	4585221,74914999	6521719,82014	0	1377,94575299	d_depre	761,486704712423
0,5	1	1	0,217868852459	0	0,0103	0,356827868852	2226,84075573	1375,33603407999	770,102687997999	266,349450720999	573,784227032999	1646,83094641999	976,549037042999	2259,08133494	328,974561236	454,966046767	768,823964489999	3111,17794788999	4585232,36287	6521717,73708999	0	1375,33603407999	d_depre	768,823971272096
1	1	1	0,208571428571	0	0,01514	0,361992063492	2223,84694800999	1313,41413042999	717,516155223	304,212076761999	520,374257974999	1643,34831533999	1021,37037969	2303,94428874999	284,031193487999	401,908375324	763,719726181	3070,55059136999	4585286,65024999	6521761,2399	0	1313,41413042999	d_depre	763,719698454063
0,5	1	1	0,219827586207	0	0,01091	0,353875862069	2229,11651518	1392,0164755	784,883355916	259,744657549	588,369375156	1649,35640082	966,053104578999	2248,3254166	339,752541056999	469,468827566	772,303789519	3120,95722856	4585219,00363	6521705,56068	0	1392,0164755	d_depre	772,303758304002
1	1	0,915973695143	0,123977272727	1	0,01059	0,459821590909	1718,14982901	1174,55237491999	666,378362786	173,994423934999	369,064976289	3137,74200487999	3564,40431695	3885,49316517999	151,253896687999	163,207990502	3167,0407602	1741,80076493999	4587391,10063	6524227,89640999	1	1174,55237491999	d_bpopu	839,362060906094
0,5	1	1	0,119591836735	1	0,01201	0,445720408163	1583,45101416	1594,38526686	511,412866909999	377,85349408	130,183347222	2526,30854335999	3246,91687766999	2835,12262318	258,772264042	239,983650138999	2954,5268897	2829,91907626	4586436,49204999	6524847,38119	1	1594,38526686	d_bpopu	1970,97057303092
1	1	1	0,0498795180723	7	0,01458	0,906525301205	3150,30615996999	0	196,625357352999	48,7346192907	644,66623229	3122,78327077999	3086,7545611	4190,1785981	9,71501589E-7	183,907734548	2624,05692115	1303,44867868	4587420,36971999	6522763,90849999	1	0	d_bpopu	1016,59137643807
1	1	1	0,379827586207	0	0,01328	0,324296551724	982,936486880999	976,788078198999	193,157162937	352,165708053	1051,59236388999	682,467475623	1477,24584458	1618,19088125999	395,248373261999	241,687121256	1220,28656578	3900,86651359999	4584982,84953	6523690,22728999	0,080656812755	976,788078198999	d_depre	1220,28656159065
1	1	1	0,446603773585	0	0,01593	0,282781132075	818,365824288999	1139,13762107999	179,209995133	353,136462891999	939,646342085	558,311082987999	1447,74356158	1453,608426	394,845918396	178,946009702999	1185,51011244	4064,98572366999	4584821,50757999	6523722,73008999	0,0935195838515	1139,13762107999	d_depre	1185,51013161873
1	1	1	0,431636363636	0	0,01754	0,28392	729,623994637999	1223,11713652	171,283700777999	320,700770309	855,670085849999	474,719367069999	1406,49284452	1364,34734	361,498181471999	89,7100127563	1143,01918292999	4151,40511532999	4584727,59702	6523708,02429999	0,194407328352	1223,11713652	d_depre	1143,01917901289
1	1	1	0,497906976744	1	0,02121	0,242697674419	639,433077571	1316,28452255999	109,628150538	354,187030601	818,410439376999	453,526327928999	1436,5222002	1274,66278114	394,075008426	1,5685034975E-5	1173,00026791999	4243,42703397999	4584646,08428999	6523758,06460999	0,593519583851	1316,28452255999	d_depre	1173,00026230633
1	1	1	0,339	0	0,01322	0,358745	1062,36992972999	893,316914034999	216,078084641999	318,476263458999	1084,04377098999	730,250817011999	1465,80796065	1697,11304571	362,065585038999	275,147224083	1213,13089648	3819,56778226	4585053,75994999	6523642,05081999	0,106535034774	893,316914034999	d_depre	1213,13085110664
1	1	1	0,372711864407	0	0,01427	0,318988135593	901,705491989	1052,3257349	200,181705120999	319,55035364	970,673873783999	597,447638690999	1427,82327516	1536,43906184	362,022879246	261,802030281999	1168,02082590999	3979,79915969	4584896,27407999	6523673,90572999	0	1052,3257349	d_depre	1168,02080577505
1	1	1	0,108857142857	13	0,00646	0,470858571429	1621,78072894999	1373,06992517	568,414744194	111,749796117	217,362899760999	2754,67920116	3330,10078909	3323,56527136	35,9270351473999	235,867904086999	2980,11316965	2319,50712436	4586875,71655	6524533,64448999	1	1373,06992517	d_bpopu	1431,42460250915
0,5	0,852613541253	0,755314306235	0,118867924528	1	0,01108	0,45851509434	1542,74591295	1563,39398965	483,291009085999	422,522740797999	77,0462239152	2469,92214531999	3196,38415713999	2785,39243823	227,808817029	192,936972325999	2907,74037232999	2875,83336813	4586382,15562	6524826,6628	0,988336972499	1563,39398965	d_bpopu	2002,55630813202
0,5	0,852613541253	0,755314306235	0,118703703704	0	0,01242	0,476157407407	1556,75907243	1509,19698666999	429,472073341999	421,192498149	31,9582458197	2430,79794922	3148,52397105	2784,34692588	173,612417235999	179,163396503999	2857,17497895999	2870,38822402999	4586371,39211999	6524773,54523	0,988336972499	1509,19698666999	d_bpopu	1981,06709974766
